doc_id,title,chunk_id,text
MA001,MA Report a Motor Vehicle Crash,MA001_C000,"Did you ﬁnd what you were looking for on this webpage? Registry of Motor Vehicles Online Ask the RMV Ask the RMV An oﬃcial website of the Commonwealth of Massachusetts Here's how you know OFFERED BY Report a motor vehicle crash Notices & Alerts Hide Help Us Improve Mass.gov All Topics Site Policies Public Records Requests © 2026 Commonwealth of Massachusetts. Mass.gov® is a registered service mark of the Commonwealth of Massachusetts. Mass.gov Privacy Policy Mass.gov Search Mass.gov SEARCH Massachusetts Registry of Motor Vehicles Report a motor vehicle crash to the Registry of Motor Vehicles. Mass RMV cautions public to beware of scam texts stating money is owed for motor vehicle violations Updated Nov. 25, 2025, 02:00 pm+ THE DETAILS M.G.L. Chapter 90, Section 26 requires a person who was operating a motor vehicle involved to complete the Motor Vehicle Crash Operator Report form in a cr"
MA001,MA Report a Motor Vehicle Crash,MA001_C001,". Chapter 90, Section 26 requires a person who was operating a motor vehicle involved to complete the Motor Vehicle Crash Operator Report form in a crash in which: any person was killed any person was injured there was damage in excess of $1,000 to any one vehicle or other property Report with the Registrar within 5 days after such crash (unless the person is physically incapable of doing so due to incapacity). The person completing the report must also send a copy of the report to the police department having jurisdiction on the way where the crash occurred. If the operator is incapacitated but is not the vehicle's owner, the owner is required to ﬁle the crash report within the 5 days based on his/her knowledge and information obtained about the crash. The Registrar may require the owner or operator to supplement the report and he/she can revoke or suspend the license of any person viol"
MA001,MA Report a Motor Vehicle Crash,MA001_C002,"ut the crash. The Registrar may require the owner or operator to supplement the report and he/she can revoke or suspend the license of any person violating any provision of this legal requirement. A police department is required to accept a report ﬁled by an owner or operator whose vehicle has been damaged in a crash in which another person unlawfully left the scene even if damage to the vehicle does not exceed $1,000. There is no fee to submit this form. You should mail your completed crash report form to 3 places: 1. Mail or deliver one copy to the local police department or state police in the city or town where the crash occurred. 2. Mail one copy to your Insurance Company. 3. Mail one copy to the RMV at the following address: Crash Records Registry of Motor Vehicles P .O. Box 55889 Boston, MA 02205-5889 What you need Fees How to report By mail + Contact Registry of Motor Vehicles + "
MA001,MA Report a Motor Vehicle Crash,MA001_C003,"ords Registry of Motor Vehicles P .O. Box 55889 Boston, MA 02205-5889 What you need Fees How to report By mail + Contact Registry of Motor Vehicles + CONTACTS Yes No Massachusetts Department of Transportation Highway Division Motor Vehicle Crash Data What you need Fees How to report Contact Feedback Menu State OrganizationsSelect Language"
MA001,MA Report a Motor Vehicle Crash,MA001_C004, of Transportation Highway Division Motor Vehicle Crash Data What you need Fees How to report Contact Feedback Menu State OrganizationsSelect Language
MA002,MA Crash Operator Report Form (PDF),MA002_C000,"Commonwealth of Massachusetts Motor Vehicle Crash Operator Report When should I complete a Crash Report? M.G.L. Chapter 90, Section 26 requires a person who was operating a motor vehicle involved in a crash in which (i) any person was killed or (ii) injured or (iii) in which there was damage in excess of $1,000 to any one vehicle or other property, to complete and file a Crash Operator Report with the Registrar within five (5) days after such crash (unless the person is physically incapable of doing so due to incapacity). The person completing the report must also send a copy of the report to the police department having jurisdiction on the way where the crash occurred. If the operator is incapacitated but is not the vehicle’s owner, the owner is required to file the crash report within the five (5) days based on his/her knowledge and information obtained about the crash. The Registrar m"
MA002,MA Crash Operator Report Form (PDF),MA002_C001,"ner is required to file the crash report within the five (5) days based on his/her knowledge and information obtained about the crash. The Registrar may require the owner or operator to supplement the report and he/ she can revoke or suspend the license of any person violating any provision of this legal requirement. A police department is required to accept a report filed by an owner or operator whose vehicle has been damaged in a crash in which another person unlawfully left the scene even if damage to the vehicle does not exceed $1,000. Mail or deliver one copy to the local police department or state police in the city or town where the crash occurred. Mail one copy to your Insurance Company. Mail one copy to the RMV at the following address: Registry of Motor Vehicles Crash Records P.O. Box 55889 Boston, MA 02205-5889 How To Complete This Form Please carefully complete all sections o"
MA002,MA Crash Operator Report Form (PDF),MA002_C002,"ress: Registry of Motor Vehicles Crash Records P.O. Box 55889 Boston, MA 02205-5889 How To Complete This Form Please carefully complete all sections of this form that apply to your crash, circling the answer where appropriate. Illegible reports will be returned to you. Where to send completed reports: Section A: Crash Location • Provide the city/town where the crash occurred, the date and time of the crash, and the number of vehicles involved. • Complete section A6 or A7. • Use official names of all locations, streets and landmarks. • Use street name and route #, if applicable. • Be as precise as possible when describing the location. • Provide enough information to locate the crash to a specific point, not just a street or roadway. Section B: Vehicle You Were Driving • Provide information on your license and the vehicle you were driving. • Use the codes provided to indicate the cause of"
MA002,MA Crash Operator Report Form (PDF),MA002_C003," B: Vehicle You Were Driving • Provide information on your license and the vehicle you were driving. • Use the codes provided to indicate the cause of the crash. Section C: You and Your Passengers • Provide information on you and your passengers at the time of the crash. • Use the codes provided to indicate occupant information. Section D: Other Vehicles Involved in the Crash • Provide information on the other vehicle(s) and operator(s) involved in the crash. • If more than one vehicle involved, please use additional form completing Section D only. Section E: Non-Motorist(s) Involved • Provide information on the non-motorist(s) involved in the crash. • If more than one non-motorist involved, please use additional form completing Section E only. Section F: Crash Conditions • Use the codes provided to indicate the conditions at the time of the crash. Section G: Crash Diagram • Draw a diagr"
MA002,MA Crash Operator Report Form (PDF),MA002_C004,"nly. Section F: Crash Conditions • Use the codes provided to indicate the conditions at the time of the crash. Section G: Crash Diagram • Draw a diagram of how the crash occurred. • On the diagram, Vehicle 1 represents your vehicle. Section H: Witness Information • List all the people who saw the crash but were not involved. Section I: Property Damage Information • Indicate all non-vehicular property that was damaged in the crash. Section J: Description of What Happened • Describe the crash including events prior to the crash for your vehicles and all other vehicles. Section K: Signature • Please sign and print your name and indicate the date you completed the form. CRASH102_0124 A. Crash Location A1. City/Town Where Crash Occurred 1 2 3 4 5 6 7 8 A5. Did the crash occur at an intersection of two or more streets? A6. If Yes. A7. If No. Please complete Section A6 or A7 below to indicate t"
MA002,MA Crash Operator Report Form (PDF),MA002_C005,"5 6 7 8 A5. Did the crash occur at an intersection of two or more streets? A6. If Yes. A7. If No. Please complete Section A6 or A7 below to indicate the location of the crash. If you need additional space to describe the crash location, please use Section J on the last page of this form. A2. Date of Crash A3. Time of Crash A4. # Vehicles Involved: Step 1. Please indicate the route or roadway where you were travelling when the crash occurred: Step 1. Please indicate the route, roadway and address where the crash occurred: Step 2. What was the name (or names) of the intersecting streets? Step 2. Please provide as much of the following specific location information as possible: a) Mile Marker number 1 59 2 43 78 6 AM M E W U C N B S F Unknown Yes Yes Yes PM DM H (Hazardous) 1 Passenger car 2 Light truck (van, mini-van, pick-up, sport utility) 3 Motorcycle 9 Truck tractor (bobtail) 10 Tracto"
